,ISSN,Issn,Title,CiteScore,SNIP,SJR,H index,IF,"Eigen Factor
Score",Scopus_Quartile,SJR Quartile,HJRS Category,JPI,Medallion,HEC Recognized?,Scopus_Subject_Category,SCimago_Categories,SCimago_Areas,WoS_Category,HJRS_Subject_Category,ESA_Index,ESA_Index_Imputed,ESA_Quartile,ESA_Quartile_Imputed,ranked_ESA_Index,ranked_ESA_Index_Imputed
11,2470-9476,24709476,science robotics,0.0,0.0,6.569,79.0,27.541,0.01637,,JQ1,W,95,Platinum,Yes,,Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Optimization (Q1); Mechanical Engineering (Q1),Computer Science; Engineering; Mathematics,ROBOTICS,Artificial Intelligence,1.6966666666666663,1.3066666666666666,ESA_Q1,ESAImp_Q1,12.0,12.0
12,1532-4435,"15337928, 15324435",journal of machine learning research,7.5,3.109,2.393,239.0,5.177,0.03166,PQ1,JQ1,W,94,Platinum,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Software (Q1); Statistics and Probability (Q1),Computer Science; Engineering; Mathematics,AUTOMATION & CONTROL SYSTEMS,Artificial Intelligence,1.518333333333333,1.26,ESA_Q1,ESAImp_Q1,13.0,13.0
13,0950-7051,9507051,knowledge-based systems,12.0,2.514,2.192,151.0,8.139,0.02964,PQ1,JQ1,W,91,Platinum,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Information Systems and Management (Q1); Management Information Systems (Q1); Software (Q1),"Business, Management and Accounting; Computer Science; Decision Sciences","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Artificial Intelligence,1.465,1.1883333333333332,ESA_Q1,ESAImp_Q1,14.0,14.0
14,0893-6080,"08936080, 18792782",neural networks,13.1,2.705,2.781,164.0,9.657,0.02002,PQ1,JQ1,W,93,Platinum,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Cognitive Neuroscience (Q1),Computer Science; Neuroscience,NEUROSCIENCES,Artificial Intelligence,1.38,1.15,ESA_Q1,ESAImp_Q1,15.0,15.0
15,0004-3702,43702,artificial intelligence,8.7,3.083,1.673,161.0,14.05,0.01279,PQ1,JQ1,W,90,Platinum,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Linguistics and Language (Q1),Computer Science; Social Sciences,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Artificial Intelligence,1.2333333333333334,1.005,ESA_Q1,ESAImp_Q1,16.0,18.0
16,0278-3649,"02783649, 17413176",international journal of robotics research,14.8,3.176,3.403,180.0,6.887,0.00957,PQ1,JQ1,W,93,Platinum,Yes,Artificial Intelligence,Applied Mathematics (Q1); Artificial Intelligence (Q1); Electrical and Electronic Engineering (Q1); Mechanical Engineering (Q1); Modeling and Simulation (Q1); Software (Q1),Computer Science; Engineering; Mathematics,ROBOTICS,Artificial Intelligence,1.1766666666666667,1.0450000000000002,ESA_Q1,ESAImp_Q1,17.0,17.0
17,1556-603X,1556603X,ieee computational intelligence magazine,22.1,5.608,3.594,66.0,9.809,0.00313,PQ1,JQ1,W,86,Gold,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Theoretical Computer Science (Q1),Computer Science; Mathematics,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Artificial Intelligence,1.175,1.0533333333333332,ESA_Q1,ESAImp_Q1,18.0,16.0
18,2377-3766,23773766,ieee robotics and automation letters,8.0,1.998,2.206,82.0,4.321,0.02401,PQ1,JQ1,W,85,Gold,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Biomedical Engineering (Q1); Computer Science Applications (Q1); Computer Vision and Pattern Recognition (Q1); Control and Optimization (Q1); Control and Systems Engineering (Q1); Human-Computer Interaction (Q1); Mechanical Engineering (Q1),Computer Science; Engineering; Mathematics,ROBOTICS,Artificial Intelligence,1.075,0.8733333333333334,ESA_Q1,ESAImp_Q1,19.0,21.0
19,0269-2821,"02692821, 15737462",artificial intelligence review,14.9,3.467,2.18,101.0,9.588,0.00681,PQ1,JQ1,W,89,Gold,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Linguistics and Language (Q1),Computer Science; Social Sciences,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Artificial Intelligence,1.0233333333333332,0.88,ESA_Q1,ESAImp_Q1,20.0,20.0
20,1571-0645,"18731457, 15710645",physics of life reviews,23.3,3.185,1.992,71.0,9.833,0.0029,PQ1,JQ1,W,80,Silver,Yes,Artificial Intelligence,Agricultural and Biological Sciences (miscellaneous) (Q1); Artificial Intelligence (Q1); Physics and Astronomy (miscellaneous) (Q1),Agricultural and Biological Sciences; Computer Science; Physics and Astronomy,BIOLOGY,Artificial Intelligence,0.9833333333333334,0.8633333333333333,ESA_Q1,ESAImp_Q1,21.5,22.0
21,0952-1976,9521976,engineering applications of artificial intelligence,11.0,2.222,1.734,126.0,7.802,0.01181,PQ1,JQ1,W,86,Gold,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1),Computer Science; Engineering,"ENGINEERING, MULTIDISCIPLINARY",Artificial Intelligence,0.9833333333333334,0.8266666666666667,ESA_Q1,ESAImp_Q1,21.5,26.0
22,2169-5172,21695172,soft robotics,16.3,2.727,3.027,63.0,7.784,0.00631,PQ1,JQ1,W,87,Gold,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Biophysics (Q1); Control and Systems Engineering (Q1),"Biochemistry, Genetics and Molecular Biology; Computer Science; Engineering",ROBOTICS,Artificial Intelligence,0.955,0.8350000000000001,ESA_Q1,ESAImp_Q1,23.0,25.0
23,2157-6904,"21576912, 21576904",acm transactions on intelligent systems and technology,11.7,2.727,2.766,71.0,10.489,0.00537,PQ1,JQ1,W,88,Gold,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Theoretical Computer Science (Q1),Computer Science; Mathematics,"COMPUTER SCIENCE, INFORMATION SYSTEMS",Artificial Intelligence,0.9483333333333333,0.8066666666666666,ESA_Q1,ESAImp_Q1,24.0,27.0
24,2307-387X,2307387X,transactions of the association for computational linguistics,9.0,6.432,2.372,32.0,9.194,0.00426,PQ1,JQ1,W,54,Honorable Mention,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Communication (Q1); Computer Science Applications (Q1); Human-Computer Interaction (Q1); Linguistics and Language (Q1),Computer Science; Social Sciences,LINGUISTICS,Artificial Intelligence,0.9266666666666666,0.8033333333333332,ESA_Q1,ESAImp_Q1,25.0,28.0
25,0167-8655,1678655,pattern recognition letters,8.6,1.76,1.479,170.0,4.757,0.01284,PQ1,JQ1,W,83,Gold,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Signal Processing (Q1); Software (Q1),Computer Science,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Artificial Intelligence,0.91,0.7783333333333333,ESA_Q1,ESAImp_Q1,26.0,29.0
26,0956-5515,"15728145, 09565515",journal of intelligent manufacturing,13.3,2.473,1.929,95.0,7.136,0.00689,PQ1,JQ1,W,86,Gold,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Industrial and Manufacturing Engineering (Q1); Software (Q1),Computer Science; Engineering,"ENGINEERING, MANUFACTURING",Artificial Intelligence,0.8683333333333333,0.75,ESA_Q1,ESAImp_Q1,27.0,30.0
27,0884-8173,"1098111X, 08848173",international journal of intelligent systems,13.6,1.787,1.693,101.0,8.993,0.00518,PQ1,JQ1,W,85,Gold,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1); Theoretical Computer Science (Q1),Computer Science; Mathematics,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Artificial Intelligence,0.855,0.7283333333333334,ESA_Q1,ESAImp_Q1,28.0,33.0
28,1474-0346,14740346,advanced engineering informatics,10.1,2.16,1.601,99.0,7.862,0.00508,PQ1,JQ1,W,84,Gold,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Information Systems (Q1),Computer Science,"ENGINEERING, MULTIDISCIPLINARY",Artificial Intelligence,0.7833333333333333,0.67,ESA_Q1,ESAImp_Q1,29.0,39.5
29,0749-596X,"10960821, 0749596X",journal of memory and language,5.6,2.349,1.784,164.0,4.521,0.00713,PQ1,JQ1,W,87,Gold,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1); Neuropsychology and Physiological Psychology (Q1),Computer Science; Psychology; Social Sciences,LINGUISTICS,Artificial Intelligence,0.7799999999999999,0.6866666666666666,ESA_Q1,ESAImp_Q1,30.0,36.0
30,0885-6125,"15730565, 08856125",machine learning,7.2,2.181,1.64,161.0,5.414,0.00574,PQ1,JQ1,W,86,Gold,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Software (Q1),Computer Science,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Artificial Intelligence,0.7766666666666667,0.6833333333333335,ESA_Q1,ESAImp_Q1,31.0,37.0
31,0165-0114,1650114,fuzzy sets and systems,7.1,1.732,1.338,180.0,4.462,0.00681,PQ1,JQ1,W,79,Silver,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Logic (Q1),Computer Science; Mathematics,"MATHEMATICS, APPLIED",Artificial Intelligence,0.7566666666666667,0.6666666666666666,ESA_Q1,ESAImp_Q1,32.0,41.5
32,0933-3657,"09333657, 18732860",artificial intelligence in medicine,10.4,2.222,1.497,100.0,7.011,0.00494,PQ1,JQ1,W,82,Gold,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Medicine (miscellaneous) (Q1),Computer Science; Medicine,"ENGINEERING, BIOMEDICAL",Artificial Intelligence,0.7549999999999999,0.65,ESA_Q1,ESAImp_Q1,33.0,43.0
33,0004-5411,"00045411, 1557735X",journal of the acm,6.7,2.814,2.808,133.0,2.269,0.00472,PQ1,JQ1,W,87,Gold,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1),Computer Science; Engineering,"COMPUTER SCIENCE, THEORY & METHODS",Artificial Intelligence,0.7250000000000001,0.67,ESA_Q1,ESAImp_Q1,34.0,39.5
34,1541-1672,15411672,ieee intelligent systems,7.5,2.037,1.572,135.0,6.744,0.00319,PQ1,JQ1,W,83,Gold,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Computer Networks and Communications (Q1),Computer Science,"ENGINEERING, ELECTRICAL & ELECTRONIC",Artificial Intelligence,0.7183333333333334,0.6283333333333334,ESA_Q1,ESAImp_Q1,35.0,44.0
35,2332-7731,23327731,ieee transactions on cognitive communications and networking,9.3,1.898,2.62,44.0,6.359,0.0049,PQ1,JQ1,W,56,Honorable Mention,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Hardware and Architecture (Q1),Computer Science,TELECOMMUNICATIONS,Artificial Intelligence,0.7116666666666668,0.615,ESA_Q1,ESAImp_Q1,36.0,45.0
36,,26666510,ai open,0.0,17.091,0.0,10.0,0.0,0.0,,-,,,,,Artificial Intelligence,Artificial Intelligence; Computer Science Applications; Computer Vision and Pattern Recognition; Human-Computer Interaction; Information Systems; Software,Computer Science,,,0.695,0.695,ESA_Q1,ESAImp_Q1,37.0,35.0
37,0891-2017,"08912017, 15309312",computational linguistics,6.8,2.691,1.17,111.0,7.778,0.00217,PQ1,JQ2,W,81,Silver,Yes,Artificial Intelligence,Computer Science Applications (Q1); Linguistics and Language (Q1); Artificial Intelligence (Q2),Computer Science; Social Sciences,LINGUISTICS,Artificial Intelligence,0.685,0.59,ESA_Q1,ESAImp_Q1,38.0,49.0
38,1076-9757,10769757,journal of artificial intelligence research,8.3,2.754,1.485,127.0,3.635,0.00457,PQ1,JQ1,W,81,Silver,Yes,Artificial Intelligence,Artificial Intelligence (Q1),Computer Science,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Artificial Intelligence,0.6816666666666666,0.6133333333333334,ESA_Q1,ESAImp_Q1,39.0,46.0
39,0924-669X,"0924669X, 15737497",applied intelligence,7.8,1.636,1.211,83.0,5.019,0.00852,PQ1,JQ2,W,76,Silver,Yes,Artificial Intelligence,Artificial Intelligence (Q2),Computer Science,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Artificial Intelligence,0.68,0.5716666666666667,ESA_Q1,ESAImp_Q1,40.0,51.0
40,0929-5593,"15737527, 09295593",autonomous robots,9.0,1.73,1.564,123.0,3.255,0.00478,PQ1,JQ1,W,79,Silver,Yes,Artificial Intelligence,Artificial Intelligence (Q1),Computer Science,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Artificial Intelligence,0.6416666666666667,0.5766666666666667,ESA_Q1,ESAImp_Q1,41.0,50.0
41,0743-7315,"07437315, 10960848",journal of parallel and distributed computing,9.2,1.618,1.289,98.0,4.542,0.00515,PQ1,JQ1,W,78,Silver,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Software (Q1); Theoretical Computer Science (Q1),Computer Science; Mathematics,"COMPUTER SCIENCE, THEORY & METHODS",Artificial Intelligence,0.6350000000000001,0.555,ESA_Q1,ESAImp_Q1,42.0,52.0
42,2471-285X,2471285X,ieee transactions on emerging topics in computational intelligence,12.5,2.218,2.013,34.0,4.851,0.00203,PQ1,JQ1,W,73,Bronze,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Computational Mathematics (Q1); Computer Science Applications (Q1); Control and Optimization (Q1),Computer Science; Mathematics,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Artificial Intelligence,0.6066666666666666,0.5433333333333333,ESA_Q1,ESAImp_Q1,43.0,53.0
43,2379-8858,23798858,ieee transactions on intelligent vehicles,10.9,2.133,1.678,43.0,5.009,0.00312,PQ1,JQ1,W,76,Silver,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Automotive Engineering (Q1); Control and Optimization (Q1),Computer Science; Engineering; Mathematics,"ENGINEERING, ELECTRICAL & ELECTRONIC",Artificial Intelligence,0.6016666666666667,0.5299999999999999,ESA_Q1,ESAImp_Q1,44.0,55.0
44,2468-6557,"24686557, 24682322",caai transactions on intelligence technology,10.0,2.183,1.548,26.0,7.985,0.00107,PQ1,JQ1,W,68,Bronze,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Information Systems (Q1),Computer Science,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Artificial Intelligence,0.6,0.5116666666666667,ESA_Q1,ESAImp_Q1,45.5,61.0
45,0888-613X,"0888613X, 18734731",international journal of approximate reasoning,7.6,1.612,1.066,105.0,4.452,0.00479,PQ1,JQ2,W,75,Bronze,Yes,Artificial Intelligence,Applied Mathematics (Q1); Software (Q1); Theoretical Computer Science (Q1); Artificial Intelligence (Q2),Computer Science; Mathematics,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Artificial Intelligence,0.6,0.5233333333333333,ESA_Q1,ESAImp_Q1,45.5,58.5
46,0364-0213,"03640213, 15516709",cognitive science,4.5,1.521,1.202,129.0,2.617,0.00721,PQ2,JQ2,W,76,Silver,Yes,Artificial Intelligence,Experimental and Cognitive Psychology (Q1); Artificial Intelligence (Q2); Cognitive Neuroscience (Q2),Computer Science; Neuroscience; Psychology,"PSYCHOLOGY, EXPERIMENTAL",Artificial Intelligence,0.5950000000000001,0.5216666666666666,ESA_Q1,ESAImp_Q1,47.0,60.0
47,0924-6495,"09246495, 15728641",minds and machines,8.4,3.165,1.555,48.0,5.339,0.00198,PQ1,JQ1,W,77,Silver,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Philosophy (Q1),Arts and Humanities; Computer Science,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Artificial Intelligence,0.5933333333333334,0.5266666666666667,ESA_Q1,ESAImp_Q1,48.0,56.0
48,0010-0285,"10955623, 00100285",cognitive psychology,5.8,1.732,1.647,130.0,3.746,0.00305,PQ1,JQ1,W,80,Silver,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Linguistics and Language (Q1); Neuropsychology and Physiological Psychology (Q1),Computer Science; Psychology; Social Sciences,"PSYCHOLOGY, EXPERIMENTAL",Artificial Intelligence,0.5916666666666667,0.5333333333333333,ESA_Q1,ESAImp_Q1,49.0,54.0
49,2168-2291,21682291,ieee transactions on human-machine systems,7.4,1.595,1.084,132.0,4.124,0.00338,PQ1,JQ2,W,76,Silver,Yes,Artificial Intelligence,Computer Networks and Communications (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Human Factors and Ergonomics (Q1); Human-Computer Interaction (Q1); Artificial Intelligence (Q2); Signal Processing (Q2),Computer Science; Engineering; Social Sciences,"COMPUTER SCIENCE, CYBERNETICS",Artificial Intelligence,0.59,0.525,ESA_Q1,ESAImp_Q1,50.0,57.0
50,,25735144,"annual review of control, robotics, and autonomous systems",22.6,5.929,0.0,31.0,0.0,0.0,PQ1,-,,,,,Artificial Intelligence,Artificial Intelligence; Control and Systems Engineering; Engineering (miscellaneous); Human-Computer Interaction,Computer Science; Engineering,,,0.5533333333333333,0.5983333333333334,ESA_Q1,ESAImp_Q1,51.0,48.0
51,0142-694X,0142694X,design studies,6.7,2.435,1.113,104.0,3.853,0.00197,PQ1,JQ2,W,76,Silver,Yes,Artificial Intelligence,Architecture (Q1); Arts and Humanities (miscellaneous) (Q1); Computer Science Applications (Q1); Engineering (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Artificial Intelligence (Q2),Arts and Humanities; Computer Science; Engineering; Social Sciences,"ENGINEERING, MULTIDISCIPLINARY",Artificial Intelligence,0.5433333333333333,0.4916666666666667,ESA_Q1,ESAImp_Q1,52.0,62.5
52,,25897217,artificial intelligence in agriculture,9.4,6.116,2.471,11.0,0.0,0.0,PQ1,JQ1,X,36,Clay,Yes,Artificial Intelligence,Agricultural and Biological Sciences (miscellaneous) (Q1); Artificial Intelligence (Q1); Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1),Agricultural and Biological Sciences; Computer Science; Engineering,,Artificial Intelligence,0.5416666666666666,0.8933333333333332,ESA_Q1,ESAImp_Q1,53.0,19.0
53,1868-8071,"1868808X, 18688071",international journal of machine learning and cybernetics,7.7,1.286,1.003,58.0,4.377,0.0051,PQ1,JQ2,W,68,Bronze,Yes,Artificial Intelligence,Artificial Intelligence (Q2); Computer Vision and Pattern Recognition (Q2); Software (Q2),Computer Science,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Artificial Intelligence,0.525,0.4466666666666666,ESA_Q1,ESAImp_Q1,54.0,66.0
54,2214-4366,13890417,cognitive systems research,9.3,1.722,1.095,63.0,4.541,0.0024,PQ1,JQ2,W,69,Bronze,Yes,Artificial Intelligence,Experimental and Cognitive Psychology (Q1); Software (Q1); Artificial Intelligence (Q2); Cognitive Neuroscience (Q2),Computer Science; Neuroscience; Psychology,"PSYCHOLOGY, EXPERIMENTAL",Artificial Intelligence,0.5200000000000001,0.4583333333333334,ESA_Q1,ESAImp_Q1,55.0,64.0
55,2472-1751,24721751,network neuroscience,8.2,1.2,1.713,26.0,4.98,0.00323,PQ1,JQ1,W,71,Bronze,Yes,Artificial Intelligence,Applied Mathematics (Q1); Artificial Intelligence (Q1); Computer Science Applications (Q1); Neuroscience (miscellaneous) (Q1),Computer Science; Mathematics; Neuroscience,NEUROSCIENCES,Artificial Intelligence,0.5116666666666666,0.4383333333333333,ESA_Q1,ESAImp_Q1,56.0,69.0
56,0378-2166,3782166,journal of pragmatics,2.8,2.075,0.93,111.0,1.86,0.00602,PQ1,JQ2,W,71,Bronze,Yes,Artificial Intelligence,Linguistics and Language (Q1); Artificial Intelligence (Q2),Computer Science; Social Sciences,LINGUISTICS,Artificial Intelligence,0.5083333333333333,0.4516666666666666,ESA_Q1,ESAImp_Q1,57.0,65.0
57,,"2576988X, 25769898",engineered science,16.6,2.038,2.436,42.0,0.0,0.0,PQ1,JQ1,X,40,Clay,Yes,Artificial Intelligence,Applied Mathematics (Q1); Artificial Intelligence (Q1); Chemistry (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1),Chemistry; Computer Science; Energy; Engineering; Materials Science; Mathematics,,Artificial Intelligence,0.5066666666666667,0.8583333333333334,ESA_Q1,ESAImp_Q1,58.0,23.0
58,2405-9595,24059595,ict express,8.7,2.214,1.398,35.0,4.754,0.00148,PQ1,JQ1,W,68,Bronze,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1),Computer Science,TELECOMMUNICATIONS,Artificial Intelligence,0.5033333333333333,0.445,ESA_Q1,ESAImp_Q1,59.0,67.0
59,1568-4539,"15732908, 15684539",fuzzy optimization and decision making,8.3,1.868,1.084,60.0,5.274,0.00092,PQ1,JQ2,W,66,Bronze,Yes,Artificial Intelligence,Logic (Q1); Software (Q1); Artificial Intelligence (Q2),Computer Science; Mathematics,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,Artificial Intelligence,0.5,0.44,ESA_Q1,ESAImp_Q1,60.0,68.0
60,1756-8757,"17568765, 17568757",topics in cognitive science,6.7,1.645,1.252,68.0,3.265,0.00379,PQ1,JQ1,W,75,Bronze,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Experimental and Cognitive Psychology (Q1); Human-Computer Interaction (Q1); Linguistics and Language (Q1); Cognitive Neuroscience (Q2),Computer Science; Neuroscience; Psychology; Social Sciences,"PSYCHOLOGY, EXPERIMENTAL",Artificial Intelligence,0.4950000000000001,0.4366666666666667,ESA_Q1,ESAImp_Q1,61.0,70.5
