Issn,Title,CiteScore,SNIP,SJR,H index,IF,ES,SJR Best Quartile,HJRS Category
15708705,ad hoc networks,9.5,1.557,"1,397",98,4.816,0.00489,Q1,W
1290657,international journal of neural systems,9.5,1.563,"1,368",67,6.325,0.00239,Q1,W
13890417,cognitive systems research,9.3,1.76,"1,095",56,4.541,0.0024,Q1,W
13891286,computer networks,9.3,1.803,"1,592",139,5.493,0.01108,Q1,W
23327731,ieee transactions on cognitive communications and networking,9.3,1.899,"2,620",33,6.359,0.0049,Q1,W
"07437315, 10960848",journal of parallel and distributed computing,9.2,1.633,"1,289",92,4.542,0.00515,Q1,W
"18790771, 08956111",computerized medical imaging and graphics,9.1,2.033,"1,485",82,7.422,0.00342,Q1,W
"15265536, 10477047",information systems research,9.1,2.441,"3,816",168,5.49,0.00729,Q1,W
"15737527, 09295593",autonomous robots,9,1.77,"1,564",117,3.255,0.00478,Q1,W
2307387X,transactions of the association for computational linguistics,9,7.804,"2,372",14,9.194,0.00426,Q1,W
21686750,ieee transactions on emerging topics in computing,8.9,1.611,"1,308",48,6.595,0.00264,Q1,W
12292370,journal of communications and networks,8.8,0.959,"1,425",48,3.908,0.00152,Q1,W
43702,artificial intelligence,8.7,3.13,"1,673",155,14.05,0.01279,Q1,W
24059595,ict express,8.7,2.246,"1,398",27,4.754,0.00148,Q1,W
"22885048, 22884300",journal of computational design and engineering,8.7,2.353,"1,034",29,6.167,0.00167,Q1,W
"13845810, 1573756X",data mining and knowledge discovery,8.6,2.53,"1,615",104,5.406,0.00367,Q1,W
"19379234, 19328184",ieee systems journal,8.6,1.442,"1,359",88,4.802,0.01455,Q1,W
1678655,pattern recognition letters,8.6,1.786,"1,479",163,4.757,0.01284,Q1,W
"15622479, 21993211",international journal of fuzzy systems,8.5,1.25,"0,908",47,4.085,0.00404,Q2,W
"09246495, 15728641",minds and machines,8.4,3.251,"1,555",44,5.339,0.00198,Q1,W
"15732908, 15684539",fuzzy optimization and decision making,8.3,2.022,"1,084",56,5.274,0.00092,Q1,W
10769757,journal of artificial intelligence research,8.3,2.921,"1,485",123,3.635,0.00457,Q1,W
24721751,network neuroscience,8.2,1.139,"1,713",22,4.98,0.00323,Q1,W
23773766,ieee robotics and automation letters,8,2.041,"2,206",63,4.321,0.02401,Q1,W
23255870,ieee transactions on control of network systems,7.9,1.584,"2,588",49,4.347,0.01112,Q1,W
24732400,ieee transactions on green communications and networking,7.9,1.197,"1,872",30,3.525,0.00307,Q1,W
"10692509, 18758835",integrated computer-aided engineering,7.9,1.493,"1,227",45,6.137,0.00087,Q1,W
15741192,pervasive and mobile computing,7.9,1.223,"1,062",69,3.848,0.00237,Q1,W
"0924669X, 15737497",applied intelligence,7.8,1.729,"1,211",72,5.019,0.00852,Q2,W
1403664,computer communications,7.8,1.536,"1,301",109,5.047,0.00868,Q1,W
"15700844, 22104968",semantic web,7.8,2.929,"1,242",45,3.105,0.00208,Q1,W
13594338,virtual reality,7.8,2.633,"1,009",51,4.697,0.00191,Q1,W
2373776X,ieee transactions on signal and information processing over networks,7.7,1.561,"1,875",31,3.301,0.00336,Q1,W
"1868808X, 18688071",international journal of machine learning and cybernetics,7.7,1.32,"1,003",49,4.377,0.0051,Q2,W
"0888613X, 18734731",international journal of approximate reasoning,7.6,1.715,"1,066",100,4.452,0.00479,Q1,W
"24496499, 20832567",journal of artificial intelligence and soft computing research,7.6,1.369,"1,221",22,2.675,0.00034,Q1,X
"22142126, 22142134",journal of information security and applications,7.6,1.873,"1,317",45,4.96,0.00318,Q1,W
"15729354, 13837133",constraints,7.5,1.386,"0,626",46,0.583,0.00049,Q2,X
15411672,ieee intelligent systems,7.5,2.138,"1,572",129,6.744,0.00319,Q1,W
"15337928, 15324435",journal of machine learning research,7.5,2.992,"2,393",221,5.177,0.03166,Q1,W
21682291,ieee transactions on human-machine systems,7.4,1.636,"1,084",127,4.124,0.00338,Q1,W
"19353820, 19353812",swarm intelligence,7.4,1.257,"0,765",41,3.727,0.00051,Q2,X
2504446X,drones,7.2,1.922,"0,995",24,5.532,0.00173,Q1,W
19324537,ieee transactions on network and service management,7.2,1.698,"1,618",57,4.758,0.00519,Q1,W
10459219,ieee transactions on parallel and distributed systems,7.2,1.708,"1,304",146,3.757,0.00818,Q1,W
"15730565, 08856125",machine learning,7.2,2.348,"1,640",153,5.414,0.00574,Q1,W
"16151488, 1615147X",structural and multidisciplinary optimization,7.2,1.681,"1,495",124,4.279,0.01222,Q1,W
1650114,fuzzy sets and systems,7.1,1.898,"1,338",174,4.462,0.00681,Q1,W
"23798920, 23798939",ieee transactions on cognitive and developmental systems,7.1,1.361,"1,102",43,4.546,0.00211,Q1,W
21508097,proceedings of the vldb endowment,7,2.464,"2,376",135,3.557,0.00892,Q1,W
"09248463, 15728382",artificial intelligence and law,6.9,3.439,"1,316",41,2.723,0.00106,Q1,W
"14320924, 01787675",computational mechanics,6.9,1.46,"1,413",109,4.391,0.00706,Q1,W
"08912017, 15309312",computational linguistics,6.8,2.679,"1,170",103,7.778,0.00217,Q1,W
15734277,optical switching and networking,6.8,1.147,"0,559",30,1.828,0.00065,Q2,X
0142694X,design studies,6.7,2.406,"1,113",98,3.853,0.00197,Q1,W
15707873,journal of grid computing,6.7,1.591,"1,176",55,4.674,0.00098,Q1,W
"00045411, 1557735X",journal of the acm,6.7,2.853,"2,808",131,2.269,0.00472,Q1,W
"17568765, 17568757",topics in cognitive science,6.7,1.75,"1,252",61,3.265,0.00379,Q1,W
25119044,advanced quantum technologies,6.6,1.295,"1,858",19,5.31,0.00325,Q1,W
"14698005, 02698889",knowledge engineering review,6.6,1.135,"0,681",64,2.016,0.00042,Q2,X
"15537358, 1553734X",plos computational biology,6.6,1.471,"1,960",191,4.779,0.06475,Q1,W
15591131,acm transactions on the web,6.5,1.471,"0,839",46,3.35,0.00053,Q2,W
20411480,journal of biomedical semantics,6.5,1.521,"0,719",39,1.675,0.00127,Q2,W
"16155289, 16155297",universal access in the information society,6.5,2.015,"0,894",46,2.629,0.00152,Q2,W
"14635003, 14635011",ocean modelling,6.4,1.446,"1,364",88,3.293,0.00593,Q1,W
"15576051, 15335399",acm transactions on internet technology,6.3,1.432,"1,175",59,3.989,0.00161,Q1,W
"16153383, 16153375",foundations of computational mathematics,6.3,2.487,"1,865",58,3.439,0.00608,Q1,W
8874417,journal of computer information systems,6.3,1.48,"0,820",66,3.317,0.0012,Q2,W
18787789,nano communication networks,6.3,1.153,"1,214",35,2.783,0.00088,Q1,W
"21606463, 21606455",acm transactions on interactive intelligent systems,6.2,1.288,"0,622",35,1.887,0.00193,Q2,W
10897801,ieee internet computing,6.2,1.389,"1,083",116,2.68,0.00193,Q1,W
15361268,ieee pervasive computing,6.1,1.549,"1,058",103,1.603,0.00116,Q1,W
"21908516, 21908508",journal of cryptographic engineering,6.1,1.807,"0,832",29,1.585,0.00064,Q2,W
"20960662, 20960433",computational visual media,5.9,1.595,"1,579",18,4.127,0.00138,Q1,X
189340,ieee transactions on computers,5.9,1.707,"1,040",129,3.183,0.00644,Q1,W
"23301643, 23301635",journal of the association for information science and technology,5.9,1.672,"0,848",150,3.275,0.00678,Q2,W
"02191377, 02193116",knowledge and information systems,5.9,1.413,"0,988",78,2.531,0.00439,Q1,W
"10955623, 00100285",cognitive psychology,5.8,1.782,"1,647",123,3.746,0.00305,Q1,W
2780070,ieee transactions on computer-aided design of integrated circuits and systems,5.8,1.469,"1,039",122,2.565,0.00635,Q1,W
"18616410, 18616429",international journal of computer assisted radiology and surgery,5.8,1.397,"1,000",53,3.421,0.00684,Q1,W
16735447,china communications,5.7,1.149,"0,924",48,3.17,0.00418,Q1,W
23274697,ieee transactions on network science and engineering,5.7,1.438,"1,365",29,5.033,0.00434,Q1,W
15504859,acm transactions on sensor networks,5.6,1.152,"1,083",70,2.56,0.00106,Q1,W
"16871499, 16871472",eurasip journal on wireless communications and networking,5.6,1.032,"0,832",67,2.559,0.00473,Q2,W
0168874X,finite elements in analysis and design,5.6,1.124,"0,836",81,2.618,0.00232,Q2,W
"24751510, 24751502",ieee transactions on games,5.6,1.771,"0,594",46,1.237,0.00031,Q2,X
"10960821, 0749596X",journal of memory and language,5.6,2.561,"1,784",156,4.521,0.00713,Q1,W
"01677055, 14678659",computer graphics forum,5.4,1.29,"1,668",121,2.363,0.01745,Q1,W
15749541,ecological informatics,5.4,1.436,"0,868",60,4.498,0.00338,Q2,W
"15737675, 09259902",journal of intelligent information systems,5.4,1.681,"0,805",57,2.504,0.00113,Q2,W
"15327744, 10919392",journal of organizational computing and electronic commerce,5.3,0.928,"0,645",43,2.237,0.00043,Q2,X
"13807501, 15737721",multimedia tools and applications,5.3,1.055,"0,716",80,2.577,0.02449,Q2,W
14200597,computational geosciences,5.2,1.238,"0,757",72,2.948,0.00383,Q2,W
"10970037, 00283045",networks,5.2,1.603,"1,283",66,1.871,0.00358,Q1,W
"20407947, 20407939",international journal for numerical methods in biomedical engineering,5.1,1.158,"0,668",65,2.648,0.00324,Q2,W
"18612784, 18612776",intelligent service robotics,5,1.342,"0,779",32,2.468,0.00076,Q2,X
"19366450, 19366442",peer-to-peer networking and applications,5,1.045,"0,771",36,3.488,0.0036,Q2,W
"21530785, 21530793",dynamic games and applications,4.8,1.73,"0,938",24,1.296,0.0012,Q2,W
16625218,frontiers in neurorobotics,4.8,1.364,"0,874",39,3.493,0.00298,Q2,W
"16155270, 16155262",international journal of information security,4.8,1.296,"0,755",45,2.427,0.00083,Q2,X
"1433755X, 14337541",pattern analysis and applications,4.8,1.03,"0,707",58,2.307,0.00174,Q2,X
"14680394, 02664720",expert systems,4.7,0.949,"0,599",41,2.812,0.00155,Q2,X
"09226443, 15731383",real-time systems,4.7,1.347,"0,656",58,1.865,0.0004,Q2,X
"10220038, 15728196",wireless networks,4.7,0.927,"0,657",91,2.701,0.00484,Q2,W
7384602,ai magazine,4.5,1.645,"0,577",79,2.524,0.00185,Q2,W
"03640213, 15516709",cognitive science,4.5,1.592,"1,202",120,2.617,0.00721,Q2,W
"15737705, 10647570",journal of network and systems management,4.5,0.876,"0,563",36,2.198,0.00057,Q2,X
"13704621, 1573773X",neural processing letters,4.5,0.8,"0,597",58,2.565,0.00408,Q2,W
"1387974X, 15728188",photonic network communications,4.5,0.905,"0,358",40,1.768,0.0008,Q3,X
"15730824, 09236082",multidimensional systems and signal processing,4.4,0.743,"0,452",41,2.03,0.00138,Q3,X
"11092858, 18661505",operational research,4.4,1.324,"0,675",26,2.708,0.00132,Q2,X
"15737454, 13872532",autonomous agents and multi-agent systems,4.3,1.638,"0,813",72,2.475,0.00124,Q2,W
"08857474, 15737691",journal of scientific computing,4.3,1.353,"1,326",79,2.843,0.01469,Q1,W
20798954,systems,4.3,1.375,"0,621",22,2.895,0.00089,Q2,X
"15501329, 15501477",international journal of distributed sensor networks,4.2,0.739,"0,502",58,1.938,0.00352,Q2,X
"15730670, 01687433",journal of automated reasoning,4.2,1.411,"0,930",56,1.15,0.00141,Q2,W
15309827,journal of computing and information science in engineering,4.2,0.988,"0,627",53,2.3,0.00104,Q2,X
"15206858, 10981241",systems engineering,4.2,1.147,"0,693",53,2.034,0.00056,Q2,X
17560381,biodata mining,4.1,0.947,"0,701",32,4.079,0.00124,Q2,W
"10876553, 01969722",cybernetics and systems,4.1,1.036,"0,563",41,1.859,0.00048,Q2,X
17298806,international journal of advanced robotic systems,4.1,0.87,"0,549",51,1.714,0.00386,Q2,X
"08247935, 14678640",computational intelligence,4,1.004,"0,638",53,2.142,0.00106,Q2,X
"14321882, 09424962",multimedia systems,4,1.115,"0,633",61,2.603,0.00101,Q2,X
"14322315, 01782789",visual computer,4,1.211,"0,658",69,2.835,0.00304,Q2,W
"15581756, 02721716",ieee computer graphics and applications,3.9,0.98,"0,686",95,1.909,0.00211,Q2,W
"13811231, 15729397",journal of heuristics,3.9,0.922,"0,589",67,2.247,0.00082,Q2,X
"09603174, 15731375",statistics and computing,3.9,1.639,"1,125",77,2.324,0.00883,Q1,W
"01782770, 14320452",distributed computing,3.8,1.382,"1,230",47,1.937,0.00105,Q1,W
17350654,iranian journal of fuzzy systems,3.8,1.044,"0,491",32,2.006,0.00109,Q3,X
"20511310, 20511329",journal of complex networks,3.8,0.925,"0,524",23,1.492,0.00162,Q2,X
"25901184, 26659182",journal of computer languages,3.8,1.457,"0,625",8,1.778,0.00026,Q2,X
"18604749, 10009000",journal of computer science and technology,3.8,0.98,"0,587",51,1.871,0.00156,Q2,X
20503385,animal biotelemetry,3.7,0.999,"0,830",26,3.155,0.00096,Q2,X
17518806,iet software,3.7,0.825,"0,452",45,1.15,0.00053,Q2,X
1641876X,international journal of applied mathematics and computer science,3.7,0.981,"0,552",49,2.157,0.00086,Q2,X
"10991131, 10745351",international journal of communication systems,3.7,0.762,"0,517",52,1.882,0.00346,Q2,X
"10557148, 10991190",international journal of network management,3.7,0.664,"0,629",31,1.914,0.00036,Q2,X
10946136,journal of scheduling,3.7,1.661,"0,879",64,2.13,0.00146,Q2,W
0368492X,kybernetes,3.7,0.926,"0,409",43,2.352,0.00155,Q2,X
"00928240, 15229602",bulletin of mathematical biology,3.6,0.91,"0,594",90,3.871,0.00637,Q2,W
2198436,international journal of humanoid robotics,3.6,0.793,"0,553",38,1.408,0.00043,Q3,X
"14698110, 13513249",natural language engineering,3.6,1.167,"0,519",57,1.841,0.00082,Q3,X
1676423,science of computer programming,3.6,1.008,"0,558",65,1.039,0.00115,Q3,X
"17412633, 10597123",adaptive behavior,3.5,1.11,"0,416",54,1.867,0.00095,Q3,X
"13600494, 09540091",connection science,3.5,1.19,"0,641",44,,0.00061,Q2,X
"1099047X, 10964290",international journal of rf and microwave computer-aided engineering,3.5,0.838,"0,535",40,1.987,0.00344,Q2,X
"26717255, 26717263",journal of electromagnetic engineering and science,3.5,1.095,"0,546",15,1.866,0.00045,Q2,X
2198762,international journal of computational methods,3.4,0.79,"0,442",40,1.734,0.00175,Q2,X
"00207160, 10290265",international journal of computer mathematics,3.4,1.065,"0,519",51,1.75,0.00317,Q2,X
17518709,iet information security,3.3,0.839,"0,564",37,1.3,0.00091,Q2,X
"19390122, 19390114",security and communication networks,3.3,1.075,"0,734",50,1.968,0.00409,Q2,W
"14753081, 14710684",theory and practice of logic programming,3.3,1.447,"0,778",46,0.923,0.00094,Q2,X
1419331,microprocessors and microsystems,3.2,1.73,"0,538",41,3.503,0.00218,Q2,X
"14208954, 10163328",computational complexity,3.1,1.514,"1,788",38,0.962,0.00101,Q1,W
1692968,fundamenta informaticae,3.1,0.767,"0,385",68,1.166,0.00199,Q3,X
20416695,i-perception,3.1,0.685,"0,451",31,1.492,0.00192,Q3,X
"10902724, 00220000",journal of computer and system sciences,3.1,1.305,"0,861",96,1.043,0.00232,Q2,W
20751702,machines,3.1,1.39,"0,523",22,2.899,0.00099,Q2,X
"10876545, 08839514",applied artificial intelligence,3,1.031,"0,506",59,2.777,0.00097,Q3,X
1678396,computer aided geometric design,3,1.118,"0,633",72,1.368,0.00188,Q2,W
"23311622, 00950033, 15320936",data base for advances in information systems,3,1.115,"0,567",58,1.854,0.00056,Q2,X
"23522208, 23522216",journal of logical and algebraic methods in programming,3,1.179,"0,615",17,1.088,0.00089,Q2,X
"02883635, 18827055",new generation computing,3,0.532,"0,316",28,1.18,0.00032,Q3,X
"15578666, 10665277",journal of computational biology,2.9,0.56,"0,581",97,1.549,0.00283,Q2,X
"16102940, 09485023",journal of molecular modeling,2.9,0.625,"0,344",71,2.172,0.00446,Q3,X
22277390,mathematics,2.9,1.162,"0,538",43,2.592,0.0154,Q2,W
"10645462, 15309185",artificial life,2.8,0.67,"0,338",57,1.717,0.00056,Q3,X
2644401,engineering computations,2.8,0.769,"0,364",59,1.675,0.00206,Q3,X
2180014,international journal of pattern recognition and artificial intelligence,2.8,0.771,"0,429",57,1.261,0.00148,Q3,X
3782166,journal of pragmatics,2.8,2.024,"0,930",103,1.86,0.00602,Q2,W
1678191,parallel computing,2.8,0.802,"0,360",69,0.983,0.00086,Q3,X
"10844309, 15577309",acm transactions on design automation of electronic systems,2.7,0.777,"0,533",53,1.447,0.00106,Q2,X
9217126,ai communications,2.7,0.771,"0,456",40,1.029,0.00045,Q3,X
"15729125, 00063835",bit numerical mathematics,2.7,1.364,"1,035",58,1.856,0.00202,Q1,W
"16124782, 16124790",cognitive processing,2.7,1.003,"0,462",46,1.523,0.00152,Q3,X
17487188,algorithms for molecular biology,2.6,0.853,"0,767",36,1.721,0.00093,Q2,X
15431649,international journal for multiscale computational engineering,2.6,0.553,"0,538",29,1.591,0.00049,Q2,X
"23364335, 12100552",neural network world,2.6,0.625,"0,345",27,1.304,0.00021,Q3,X
1665316,performance evaluation,2.6,1.476,"0,644",67,2.205,0.00135,Q2,W
2181940,international journal of software engineering and knowledge engineering,2.5,0.607,"0,332",36,1.007,0.00048,Q3,X
"15526283, 15526291",international journal on semantic web and information systems,2.5,0.704,"0,367",33,1.478,0.00021,Q3,X
10263098,scientia iranica,2.5,0.602,"0,306",57,1.416,0.00253,Q3,X
15464261,computer animation and virtual worlds,2.4,0.525,"0,378",50,1.01,0.00063,Q3,X
"10798587, 2326005X",intelligent automation and soft computing,2.4,0.946,"0,344",28,3.401,0.00101,Q3,X
"17481287, 17481279",international journal of sensor networks,2.4,0.487,"0,360",34,1.264,0.0004,Q3,X
"14320525, 00015903",acta informatica,2.3,1.415,"0,623",41,0.871,0.00066,Q2,X
"15737470, 10122443",annals of mathematics and artificial intelligence,2.3,0.974,"0,420",56,1.019,0.00084,Q3,X
2182130,international journal on artificial intelligence tools,2.3,0.647,"0,389",33,1.059,0.00064,Q3,X
"13826905, 15732886",journal of combinatorial optimization,2.3,0.993,"0,523",49,1.262,0.00324,Q2,X
"20794029, 16079264",journal of internet technology,2.3,0.443,"0,315",23,1.14,0.00078,Q3,X
"1875905X, 1574017X",mobile information systems,2.3,0.842,"0,495",37,1.863,0.00166,Q2,X
"15240703, 15240711",graphical models,2.2,0.552,"0,325",58,1.094,0.00044,Q3,X
"10902651, 08905401",information and computation,2.2,1.063,"0,543",76,1.24,0.00198,Q2,X
"20512201, 13558250",journal of consciousness studies,2.2,0.944,"0,453",67,1.361,0.00185,Q3,X
"01675133, 14774593",journal of semantics,2.2,1.816,"0,709",43,1,0.0013,Q2,W
13875868,spatial cognition and computation,2.2,0.692,"0,374",36,1.533,0.00037,Q3,X
"00329460, 16083253",problems of information transmission,2.1,1.19,"0,661",19,1.34,0.00056,Q2,X
"14330490, 14324350",theory of computing systems,2.1,1.004,"0,509",42,0.616,0.00156,Q3,X
"1088467X, 15714128",intelligent data analysis,2,0.532,"0,357",48,1.321,0.00075,Q3,X
1291831,international journal of modern physics c,2,0.51,"0,299",67,1.353,0.00141,Q3,X
"15465004, 15457362",international journal of web services research,2,0.554,"0,297",27,0.771,9.00E-05,Q3,Y
"27374173, 27374165",journal of computational biophysics and chemistry,2,0.416,"0,220",27,,0,Q4,Y
"19767277, 22881468",ksii transactions on internet and information systems,2,0.408,"0,315",29,0.972,0.00161,Q3,X
"14684233, 03010066",perception,2,0.676,"0,458",94,1.695,0.00215,Q3,X
"15729443, 02570130",queueing systems,2,1.011,"0,685",54,1.402,0.00115,Q2,X
15725286,discrete optimization,1.9,1.224,"0,646",38,1.509,0.00123,Q2,W
"19305346, 19305338",advances in mathematics of communications,1.8,0.985,"0,666",23,1.015,0.00187,Q2,X
16179447,computational methods and function theory,1.8,1.411,"0,514",15,1.155,0.00102,Q3,X
"10642307, 15556530",journal of computer and systems sciences international,1.8,1.478,"0,449",22,0.722,0.00041,Q2,X
"15593940, 21575452",communications in applied mathematics and computational science,1.7,0.812,"0,468",24,1.438,0.00031,Q3,X
"16618262, 16618254",complex analysis and operator theory,1.7,1.041,"0,558",23,0.819,0.00214,Q2,X
"09168516, 17451345",ieice transactions on communications,1.6,0.416,"0,248",57,0.598,0.00096,Q3,Y
"17451361, 09168532",ieice transactions on information and systems,1.6,0.418,"0,296",50,0.695,0.00216,Q3,X
"17438225, 17438233",international journal of ad hoc and ubiquitous computing,1.5,0.335,"0,262",24,0.773,0.00025,Q3,Y
10162364,journal of information science and engineering,1.5,0.568,"0,269",39,1.142,0.00046,Q4,X
"10778926, 10971440",electronic journal of combinatorics,1.3,1.087,"0,724",48,0.69,0.00723,Q2,W
1290541,international journal of foundations of computer science,1.3,0.685,"0,389",41,0.662,0.00113,Q2,X
13359150,computing and informatics,1.2,0.464,"0,226",28,0.455,0.00021,Q4,Y
"18726984, 09262245",differential geometry and its applications,1,0.915,"0,425",36,0.536,0.00178,Q3,X
"19429541, 19429533",electronics and communications in japan,0.9,0.353,"0,172",15,0.36,0.00033,Q4,Y
15409589,journal of web engineering,0.8,0.757,"0,255",13,0.575,0.00014,Q3,Y
19891660,international journal of interactive multimedia and artificial intelligence,0.6,,,3,4.936,0.00128,-,Y
2157846X,nature biomedical engineering,32.1,3.816,"5,635",75,29.234,0.02704,Q1,W
"21682275, 21682267",ieee transactions on cybernetics,22,3.673,"4,506",140,19.118,0.0563,Q1,W
15361284,ieee wireless communications,22,3.376,"6,060",169,12.777,0.01708,Q1,W
15513203,ieee transactions on industrial informatics,21.3,3.471,"4,333",151,11.648,0.05282,Q1,W
"02780062, 1558254X",ieee transactions on medical imaging,18.8,3.909,"4,045",233,11.037,0.03385,Q1,W
9242716,isprs journal of photogrammetry and remote sensing,17.6,2.927,"3,481",155,11.774,0.02285,Q1,W
7365845,robotics and computer-integrated manufacturing,16,3.365,"2,873",99,10.103,0.00719,Q1,W
15361276,ieee transactions on wireless communications,15.7,2.321,"4,436",224,8.346,0.0498,Q1,W
"08883270, 10961216",mechanical systems and signal processing,15.1,3.234,"2,768",180,8.934,0.03988,Q1,W
15523098,ieee transactions on robotics,14.2,3.597,"3,458",168,6.835,0.01362,Q1,W
20573960,npj computational materials,14,2.437,"2,967",49,12.256,0.01647,Q1,W
"1557928X, 07421222",journal of management information systems,13.9,3.54,"4,365",153,7.582,0.00484,Q1,W
"15580016, 15249050",ieee transactions on intelligent transportation systems,13.7,2.928,"2,111",166,9.551,0.02879,Q1,W
